ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48E9F90AE18D3103D8C,2020-08-03 00:00:00,001,颗粒物,0.74,20,,0,0,2020-08-04T09:20:56.58,2020-08-04T09:21:04.81,20200803
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48E9F90AE18D3103D8C,2020-08-03 00:00:00,002,二氧化硫,8.46,80,,0,0,2020-08-04T09:20:56.58,2020-08-04T09:21:04.81,20200803
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48E9F90AE18D3103D8C,2020-08-03 00:00:00,003,氮氧化物,143.0,250,,0,0,2020-08-04T09:20:56.58,2020-08-04T09:21:04.81,20200803
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48E9F90AE18D3103D8C,2020-08-03 00:00:00,004,一氧化碳,2.79,80,,0,0,2020-08-04T09:20:56.58,2020-08-04T09:21:04.81,20200803
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48E9F90AE18D3103D8C,2020-08-03 00:00:00,008,氯化氢,2.53,50,,0,0,2020-08-04T09:20:56.58,2020-08-04T09:21:04.81,20200803
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48E45578995B25B17C1,2020-08-03 00:00:00,001,颗粒物,2.35,20,,0,0,2020-08-04T09:20:56.58,2020-08-04T09:21:04.81,20200803
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48E45578995B25B17C1,2020-08-03 00:00:00,002,二氧化硫,3.1,80,,0,0,2020-08-04T09:20:56.58,2020-08-04T09:21:04.81,20200803
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48E45578995B25B17C1,2020-08-03 00:00:00,003,氮氧化物,57.5,250,,0,0,2020-08-04T09:20:56.58,2020-08-04T09:21:04.81,20200803
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48E45578995B25B17C1,2020-08-03 00:00:00,004,一氧化碳,6.42,80,,0,0,2020-08-04T09:20:56.58,2020-08-04T09:21:04.81,20200803
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48E45578995B25B17C1,2020-08-03 00:00:00,008,氯化氢,4.44,50,,0,0,2020-08-04T09:20:56.58,2020-08-04T09:21:04.81,20200803
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48E9F13A902C0F161C6,2020-08-03 00:00:00,001,颗粒物,2.27,20,,0,0,2020-08-04T09:20:56.58,2020-08-04T09:21:04.81,20200803
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48E9F13A902C0F161C6,2020-08-03 00:00:00,002,二氧化硫,1.56,80,,0,0,2020-08-04T09:20:56.58,2020-08-04T09:21:04.81,20200803
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48E9F13A902C0F161C6,2020-08-03 00:00:00,003,氮氧化物,149.8,250,,0,0,2020-08-04T09:20:56.58,2020-08-04T09:21:04.81,20200803
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48E9F13A902C0F161C6,2020-08-03 00:00:00,004,一氧化碳,1.75,80,,0,0,2020-08-04T09:20:56.58,2020-08-04T09:21:04.81,20200803
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48E9F13A902C0F161C6,2020-08-03 00:00:00,008,氯化氢,2.57,50,,0,0,2020-08-04T09:20:56.58,2020-08-04T09:21:04.81,20200803
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48E82C47E9687094FC0,2020-08-03 00:00:00,001,颗粒物,2.93,20,,0,0,2020-08-04T09:20:56.58,2020-08-04T09:21:04.81,20200803
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48E82C47E9687094FC0,2020-08-03 00:00:00,002,二氧化硫,7.51,80,,0,0,2020-08-04T09:20:56.58,2020-08-04T09:21:04.81,20200803
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48E82C47E9687094FC0,2020-08-03 00:00:00,003,氮氧化物,164.3,250,,0,0,2020-08-04T09:20:56.58,2020-08-04T09:21:04.81,20200803
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48E82C47E9687094FC0,2020-08-03 00:00:00,004,一氧化碳,1.54,80,,0,0,2020-08-04T09:20:56.58,2020-08-04T09:21:04.81,20200803
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48E82C47E9687094FC0,2020-08-03 00:00:00,008,氯化氢,2.68,50,,0,0,2020-08-04T09:20:56.58,2020-08-04T09:21:04.81,20200803
