ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
F5E65030F388527BB8E4866AF9577B7E,F5E65030F388527B36DB1D449E2650D3,2020-08-04 00:00:00,001,颗粒物,,20,通讯中断,0,0,2020-08-05T09:21:57.947,2020-08-05T09:21:57.947,20200804
F5E65030F388527BB8E4866AF9577B7E,F5E65030F388527B36DB1D449E2650D3,2020-08-04 00:00:00,002,二氧化硫,,80,通讯中断,0,0,2020-08-05T09:21:57.947,2020-08-05T09:21:57.947,20200804
F5E65030F388527BB8E4866AF9577B7E,F5E65030F388527B36DB1D449E2650D3,2020-08-04 00:00:00,003,氮氧化物,,250,通讯中断,0,0,2020-08-05T09:21:57.947,2020-08-05T09:21:57.947,20200804
F5E65030F388527BB8E4866AF9577B7E,F5E65030F388527B36DB1D449E2650D3,2020-08-04 00:00:00,004,一氧化碳,,80,通讯中断,0,0,2020-08-05T09:21:57.947,2020-08-05T09:21:57.947,20200804
F5E65030F388527BB8E4866AF9577B7E,F5E65030F388527B36DB1D449E2650D3,2020-08-04 00:00:00,008,氯化氢,,50,通讯中断,0,0,2020-08-05T09:21:57.947,2020-08-05T09:21:57.947,20200804
F5E65030F388527BB8E4866AF9577B7E,F5E65030F388527BDD94433BA447736C,2020-08-04 00:00:00,001,颗粒物,,20,通讯中断,0,0,2020-08-05T09:21:57.947,2020-08-05T09:21:57.947,20200804
F5E65030F388527BB8E4866AF9577B7E,F5E65030F388527BDD94433BA447736C,2020-08-04 00:00:00,002,二氧化硫,,80,通讯中断,0,0,2020-08-05T09:21:57.947,2020-08-05T09:21:57.947,20200804
F5E65030F388527BB8E4866AF9577B7E,F5E65030F388527BDD94433BA447736C,2020-08-04 00:00:00,003,氮氧化物,,250,通讯中断,0,0,2020-08-05T09:21:57.947,2020-08-05T09:21:57.947,20200804
F5E65030F388527BB8E4866AF9577B7E,F5E65030F388527BDD94433BA447736C,2020-08-04 00:00:00,004,一氧化碳,,80,通讯中断,0,0,2020-08-05T09:21:57.947,2020-08-05T09:21:57.947,20200804
F5E65030F388527BB8E4866AF9577B7E,F5E65030F388527BDD94433BA447736C,2020-08-04 00:00:00,008,氯化氢,,50,通讯中断,0,0,2020-08-05T09:21:57.947,2020-08-05T09:21:57.947,20200804
F5E65030F388527BB8E4866AF9577B7E,F5E65030F388527BFCD0D34AD2A3BE8E,2020-08-04 00:00:00,001,颗粒物,,20,通讯中断,0,0,2020-08-05T09:21:57.947,2020-08-05T09:21:57.947,20200804
F5E65030F388527BB8E4866AF9577B7E,F5E65030F388527BFCD0D34AD2A3BE8E,2020-08-04 00:00:00,002,二氧化硫,,80,通讯中断,0,0,2020-08-05T09:21:57.947,2020-08-05T09:21:57.947,20200804
F5E65030F388527BB8E4866AF9577B7E,F5E65030F388527BFCD0D34AD2A3BE8E,2020-08-04 00:00:00,003,氮氧化物,,250,通讯中断,0,0,2020-08-05T09:21:57.947,2020-08-05T09:21:57.947,20200804
F5E65030F388527BB8E4866AF9577B7E,F5E65030F388527BFCD0D34AD2A3BE8E,2020-08-04 00:00:00,004,一氧化碳,,80,通讯中断,0,0,2020-08-05T09:21:57.947,2020-08-05T09:21:57.947,20200804
F5E65030F388527BB8E4866AF9577B7E,F5E65030F388527BFCD0D34AD2A3BE8E,2020-08-04 00:00:00,008,氯化氢,,50,通讯中断,0,0,2020-08-05T09:21:57.947,2020-08-05T09:21:57.947,20200804
