ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E076BFF41262652DA0,2020-08-11 00:00:00,001,颗粒物,,20,,0,0,2020-08-12T09:21:30.77,2020-08-12T09:21:30.77,20200811
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E076BFF41262652DA0,2020-08-11 00:00:00,002,二氧化硫,,80,,0,0,2020-08-12T09:21:30.77,2020-08-12T09:21:30.77,20200811
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E076BFF41262652DA0,2020-08-11 00:00:00,003,氮氧化物,,250,,0,0,2020-08-12T09:21:30.77,2020-08-12T09:21:30.77,20200811
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E076BFF41262652DA0,2020-08-11 00:00:00,004,一氧化碳,,80,,0,0,2020-08-12T09:21:30.77,2020-08-12T09:21:30.77,20200811
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E076BFF41262652DA0,2020-08-11 00:00:00,008,氯化氢,,50,,0,0,2020-08-12T09:21:30.77,2020-08-12T09:21:30.77,20200811
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E03180C1A63DF2C2D9,2020-08-11 00:00:00,001,颗粒物,,20,通讯中断,0,0,2020-08-12T09:21:30.77,2020-08-12T09:21:30.77,20200811
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E03180C1A63DF2C2D9,2020-08-11 00:00:00,002,二氧化硫,,80,通讯中断,0,0,2020-08-12T09:21:30.77,2020-08-12T09:21:30.77,20200811
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E03180C1A63DF2C2D9,2020-08-11 00:00:00,003,氮氧化物,,250,通讯中断,0,0,2020-08-12T09:21:30.77,2020-08-12T09:21:30.77,20200811
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E03180C1A63DF2C2D9,2020-08-11 00:00:00,004,一氧化碳,,80,通讯中断,0,0,2020-08-12T09:21:30.77,2020-08-12T09:21:30.77,20200811
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E03180C1A63DF2C2D9,2020-08-11 00:00:00,008,氯化氢,,50,通讯中断,0,0,2020-08-12T09:21:30.77,2020-08-12T09:21:30.77,20200811
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E0DCB738C0B9CCD08C,2020-08-11 00:00:00,001,颗粒物,,20,通讯中断,0,0,2020-08-12T09:21:30.77,2020-08-12T09:21:30.77,20200811
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E0DCB738C0B9CCD08C,2020-08-11 00:00:00,002,二氧化硫,,80,通讯中断,0,0,2020-08-12T09:21:30.77,2020-08-12T09:21:30.77,20200811
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E0DCB738C0B9CCD08C,2020-08-11 00:00:00,003,氮氧化物,,250,通讯中断,0,0,2020-08-12T09:21:30.77,2020-08-12T09:21:30.77,20200811
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E0DCB738C0B9CCD08C,2020-08-11 00:00:00,004,一氧化碳,,80,通讯中断,0,0,2020-08-12T09:21:30.77,2020-08-12T09:21:30.77,20200811
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E0DCB738C0B9CCD08C,2020-08-11 00:00:00,008,氯化氢,,50,通讯中断,0,0,2020-08-12T09:21:30.77,2020-08-12T09:21:30.77,20200811
