ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
8609CB94471AA9B68F6527AD60593995,8609CB94471AA9B638B8FC1D053CDE9C,2020-08-07 00:00:00,001,颗粒物,7.5,20,,0,0,2020-08-08T09:20:57.22,2020-08-08T09:21:01.537,20200807
8609CB94471AA9B68F6527AD60593995,8609CB94471AA9B638B8FC1D053CDE9C,2020-08-07 00:00:00,002,二氧化硫,35.63,80,,0,0,2020-08-08T09:20:57.22,2020-08-08T09:21:01.537,20200807
8609CB94471AA9B68F6527AD60593995,8609CB94471AA9B638B8FC1D053CDE9C,2020-08-07 00:00:00,003,氮氧化物,93.37,250,,0,0,2020-08-08T09:20:57.22,2020-08-08T09:21:01.537,20200807
8609CB94471AA9B68F6527AD60593995,8609CB94471AA9B638B8FC1D053CDE9C,2020-08-07 00:00:00,004,一氧化碳,12.55,80,,0,0,2020-08-08T09:20:57.22,2020-08-08T09:21:01.537,20200807
8609CB94471AA9B68F6527AD60593995,8609CB94471AA9B638B8FC1D053CDE9C,2020-08-07 00:00:00,008,氯化氢,22.53,50,,0,0,2020-08-08T09:20:57.22,2020-08-08T09:21:01.537,20200807
8609CB94471AA9B68F6527AD60593995,8609CB94471AA9B6BE0B61FB0CE3F3F6,2020-08-07 00:00:00,001,颗粒物,7.41,20,,0,0,2020-08-08T09:20:57.22,2020-08-08T09:21:01.537,20200807
8609CB94471AA9B68F6527AD60593995,8609CB94471AA9B6BE0B61FB0CE3F3F6,2020-08-07 00:00:00,002,二氧化硫,36.36,80,,0,0,2020-08-08T09:20:57.22,2020-08-08T09:21:01.537,20200807
8609CB94471AA9B68F6527AD60593995,8609CB94471AA9B6BE0B61FB0CE3F3F6,2020-08-07 00:00:00,003,氮氧化物,94.59,250,,0,0,2020-08-08T09:20:57.22,2020-08-08T09:21:01.537,20200807
8609CB94471AA9B68F6527AD60593995,8609CB94471AA9B6BE0B61FB0CE3F3F6,2020-08-07 00:00:00,004,一氧化碳,17.47,80,,0,0,2020-08-08T09:20:57.22,2020-08-08T09:21:01.537,20200807
8609CB94471AA9B68F6527AD60593995,8609CB94471AA9B6BE0B61FB0CE3F3F6,2020-08-07 00:00:00,008,氯化氢,11.57,50,,0,0,2020-08-08T09:20:57.22,2020-08-08T09:21:01.537,20200807
8609CB94471AA9B68F6527AD60593995,8609CB94471AA9B6E6C31A366EDCCA11,2020-08-07 00:00:00,001,颗粒物,4.93,20,,0,0,2020-08-08T09:20:57.22,2020-08-08T09:21:01.537,20200807
8609CB94471AA9B68F6527AD60593995,8609CB94471AA9B6E6C31A366EDCCA11,2020-08-07 00:00:00,002,二氧化硫,21.54,80,,0,0,2020-08-08T09:20:57.22,2020-08-08T09:21:01.537,20200807
8609CB94471AA9B68F6527AD60593995,8609CB94471AA9B6E6C31A366EDCCA11,2020-08-07 00:00:00,003,氮氧化物,100.77,250,,0,0,2020-08-08T09:20:57.22,2020-08-08T09:21:01.537,20200807
8609CB94471AA9B68F6527AD60593995,8609CB94471AA9B6E6C31A366EDCCA11,2020-08-07 00:00:00,004,一氧化碳,14.41,80,,0,0,2020-08-08T09:20:57.22,2020-08-08T09:21:01.537,20200807
8609CB94471AA9B68F6527AD60593995,8609CB94471AA9B6E6C31A366EDCCA11,2020-08-07 00:00:00,008,氯化氢,32.2,50,,0,0,2020-08-08T09:20:57.22,2020-08-08T09:21:01.537,20200807
8609CB94471AA9B68F6527AD60593995,8609CB94471AA9B6F824FF6AEE114C31,2020-08-07 00:00:00,001,颗粒物,3.84,20,,0,0,2020-08-08T09:20:57.22,2020-08-08T09:21:01.537,20200807
8609CB94471AA9B68F6527AD60593995,8609CB94471AA9B6F824FF6AEE114C31,2020-08-07 00:00:00,002,二氧化硫,26.66,80,,0,0,2020-08-08T09:20:57.22,2020-08-08T09:21:01.537,20200807
8609CB94471AA9B68F6527AD60593995,8609CB94471AA9B6F824FF6AEE114C31,2020-08-07 00:00:00,003,氮氧化物,115.44,250,,0,0,2020-08-08T09:20:57.22,2020-08-08T09:21:01.537,20200807
8609CB94471AA9B68F6527AD60593995,8609CB94471AA9B6F824FF6AEE114C31,2020-08-07 00:00:00,004,一氧化碳,11.84,80,,0,0,2020-08-08T09:20:57.22,2020-08-08T09:21:01.537,20200807
8609CB94471AA9B68F6527AD60593995,8609CB94471AA9B6F824FF6AEE114C31,2020-08-07 00:00:00,008,氯化氢,30.45,50,,0,0,2020-08-08T09:20:57.22,2020-08-08T09:21:01.537,20200807
8609CB94471AA9B68F6527AD60593995,8609CB94471AA9B61B9F3EB104AA0249,2020-08-07 00:00:00,001,颗粒物,6.36,20,,0,0,2020-08-08T09:20:57.22,2020-08-08T09:21:01.537,20200807
8609CB94471AA9B68F6527AD60593995,8609CB94471AA9B61B9F3EB104AA0249,2020-08-07 00:00:00,002,二氧化硫,23.37,80,,0,0,2020-08-08T09:20:57.22,2020-08-08T09:21:01.537,20200807
8609CB94471AA9B68F6527AD60593995,8609CB94471AA9B61B9F3EB104AA0249,2020-08-07 00:00:00,003,氮氧化物,117.35,250,,0,0,2020-08-08T09:20:57.22,2020-08-08T09:21:01.537,20200807
8609CB94471AA9B68F6527AD60593995,8609CB94471AA9B61B9F3EB104AA0249,2020-08-07 00:00:00,004,一氧化碳,12.01,80,,0,0,2020-08-08T09:20:57.22,2020-08-08T09:21:01.537,20200807
8609CB94471AA9B68F6527AD60593995,8609CB94471AA9B61B9F3EB104AA0249,2020-08-07 00:00:00,008,氯化氢,33.31,50,,0,0,2020-08-08T09:20:57.22,2020-08-08T09:21:01.537,20200807
8609CB94471AA9B68F6527AD60593995,8609CB94471AA9B67963405DE264484D,2020-08-07 00:00:00,001,颗粒物,2.65,20,,0,0,2020-08-08T09:20:57.22,2020-08-08T09:21:01.537,20200807
8609CB94471AA9B68F6527AD60593995,8609CB94471AA9B67963405DE264484D,2020-08-07 00:00:00,002,二氧化硫,39.71,80,,0,0,2020-08-08T09:20:57.22,2020-08-08T09:21:01.537,20200807
8609CB94471AA9B68F6527AD60593995,8609CB94471AA9B67963405DE264484D,2020-08-07 00:00:00,003,氮氧化物,94.15,250,,0,0,2020-08-08T09:20:57.22,2020-08-08T09:21:01.537,20200807
8609CB94471AA9B68F6527AD60593995,8609CB94471AA9B67963405DE264484D,2020-08-07 00:00:00,004,一氧化碳,17.45,80,,0,0,2020-08-08T09:20:57.22,2020-08-08T09:21:01.537,20200807
8609CB94471AA9B68F6527AD60593995,8609CB94471AA9B67963405DE264484D,2020-08-07 00:00:00,008,氯化氢,22.57,50,,0,0,2020-08-08T09:20:57.22,2020-08-08T09:21:01.537,20200807
